1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2023-04-12,0911,8000 BRADDOCK RD,SPRINGFIELD,VA,22151
1,DISORD-90C-2,DISORDERLY - DISORDERLY CONDUCT,2023-04-12,1018,700 LIVE OAK DR,MCLEAN,VA,22101
1,SERV-33,SERVICE - NON DMV REPORTABLE CRASH,2023-04-12,0014,5800 PARAKEET DR,BURKE,VA,22015
1,DEST-290-1,DESTRUCTION - PUBLIC PROPERTY,2023-04-12,1019,6200 RICHMOND HWY,ALEXANDRIA,VA,22303
1,LARC-23-3,LARCENY - SHOPLIFTING,2023-04-12,1044,7900 RICHMOND HWY,ALEXANDRIA,VA,22306
1,LARC-23-3,LARCENY - SHOPLIFTING,2023-04-12,1052,11800 SPECTRUM CTR,RESTON,VA,20190
1,ANML-90Z-3,ANIMAL - LICENSE VIOLATION,2023-04-12,1031,4300 LAWRENCE ST,ALEXANDRIA,VA,22309
1,LARC-23-3,LARCENY - SHOPLIFTING,2023-04-12,1102,8300 LEESBURG PIKE,VIENNA,VA,22182
1,SERV-1,SERVICE - POLICE SERVICE,2023-04-12,1033,6000 ABBOT RD,FORT BELVOIR,VA,22060
1,LARC-23-3,LARCENY - SHOPLIFTING,2023-04-12,1031,6400 BACKLICK RD,SPRINGFIELD,VA,22150
1,ASSLT-13A-3,ASSAULT - OTHER DANGEROUS WEAPON,2023-04-12,1102,11100 LEE HWY,FAIRFAX,VA,22030
1,LARC-23-6,LARCENY - THEFT FROM MOTOR VEHICLE,2023-04-12,0330,6000 RICHMOND HWY,ALEXANDRIA,VA,22307
1,SUSP-2,SUSPICIOUS - PERSON,2023-04-12,1113,7200 FORDSON RD,ALEXANDRIA,VA,22306
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2023-04-12,1147,7000 CLIFTON RD,CLIFTON,VA,20124
1,SERV-1,SERVICE - POLICE SERVICE,2023-04-12,1116,400 RIVER BEND RD,GREAT FALLS,VA,22066
1,LARC-23-3,LARCENY - SHOPLIFTING,2023-04-12,1107,9400 RICHMOND HWY,LORTON,VA,22079
2,TRES-90J-6,TRESPASSING - OTHER,2023-04-12,1107,9400 RICHMOND HWY,LORTON,VA,22079
1,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED,2023-04-12,1000,6900 DEER RUN DR,ALEXANDRIA,VA,22306
2,ANML-90Z-3,ANIMAL - LICENSE VIOLATION,2023-04-12,1000,6900 DEER RUN DR,ALEXANDRIA,VA,22306
1,SUSP-2,SUSPICIOUS - PERSON,2023-04-12,1129,4700 MEDFORD DR,ANNANDALE,VA,22003
1,AUTO-240-4,AUTO THEFT - AUTOS,2023-04-12,1057,5600 STEPHANIE TESSA WAY,ALEXANDRIA,VA,22303
2,SERV-45,SRO RELATED EVENT,2023-04-12,1100,2500 JAMES MADISON DR,VIENNA,VA,22181
1,LARC-23-3,LARCENY - SHOPLIFTING,2023-04-12,1100,7600 RICHMOND HWY,ALEXANDRIA,VA,22306
1,WARR-90Z-4,WARRANT - WARRANT SERVICE,2023-04-12,1052, RT29 SB RAMP TO I66 EB,CENTREVILLE,VA,20120
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2023-04-12,1158,7000 OLD KEENE MILL RD,SPRINGFIELD,VA,22150
1,ANML-90Z-6,ANIMAL - ANIMAL BITE - DOMESTIC,2023-04-12,1223,7900 FLAMINGO DR,ALEXANDRIA,VA,22306
